file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,185,css,20f3d1f7,ishita-takkar,2025-05-03,10:36:10,-07:00,2025-05-03T10:36:10-07:00,0,11
style.css,186,css,20f3d1f7,ishita-takkar,2025-05-03,10:36:10,-07:00,2025-05-03T10:36:10-07:00,0,0
style.css,187,css,20f3d1f7,ishita-takkar,2025-05-03,10:36:10,-07:00,2025-05-03T10:36:10-07:00,0,0
style.css,188,css,ac67c309,ishita-takkar,2025-05-03,12:00:36,-07:00,2025-05-03T12:00:36-07:00,0,20
style.css,189,css,ac67c309,ishita-takkar,2025-05-03,12:00:36,-07:00,2025-05-03T12:00:36-07:00,0,8
style.css,190,css,20f3d1f7,ishita-takkar,2025-05-03,10:36:10,-07:00,2025-05-03T10:36:10-07:00,0,10
style.css,191,css,20f3d1f7,ishita-takkar,2025-05-03,10:36:10,-07:00,2025-05-03T10:36:10-07:00,0,11
style.css,192,css,20f3d1f7,ishita-takkar,2025-05-03,10:36:10,-07:00,2025-05-03T10:36:10-07:00,0,30
style.css,193,css,20f3d1f7,ishita-takkar,2025-05-03,10:36:10,-07:00,2025-05-03T10:36:10-07:00,0,18
style.css,194,css,20f3d1f7,ishita-takkar,2025-05-03,10:36:10,-07:00,2025-05-03T10:36:10-07:00,0,21
style.css,195,css,20f3d1f7,ishita-takkar,2025-05-03,10:36:10,-07:00,2025-05-03T10:36:10-07:00,0,0
style.css,196,css,20f3d1f7,ishita-takkar,2025-05-03,10:36:10,-07:00,2025-05-03T10:36:10-07:00,0,0
style.css,197,css,be230187,ishita-takkar,2025-05-03,11:46:17,-07:00,2025-05-03T11:46:17-07:00,0,14
style.css,198,css,be230187,ishita-takkar,2025-05-03,11:46:17,-07:00,2025-05-03T11:46:17-07:00,0,31
style.css,199,css,be230187,ishita-takkar,2025-05-03,11:46:17,-07:00,2025-05-03T11:46:17-07:00,0,18
style.css,200,css,be230187,ishita-takkar,2025-05-03,11:46:17,-07:00,2025-05-03T11:46:17-07:00,0,11
style.css,201,css,be230187,ishita-takkar,2025-05-03,11:46:17,-07:00,2025-05-03T11:46:17-07:00,0,35
style.css,202,css,be230187,ishita-takkar,2025-05-03,11:46:17,-07:00,2025-05-03T11:46:17-07:00,0,18
style.css,203,css,41fd52e1,ishita-takkar,2025-05-03,11:11:42,-07:00,2025-05-03T11:11:42-07:00,0,0
style.css,204,css,41fd52e1,ishita-takkar,2025-05-03,11:11:42,-07:00,2025-05-03T11:11:42-07:00,0,0
style.css,205,css,aca0dbb9,ishita-takkar,2025-05-03,11:22:56,-07:00,2025-05-03T11:22:56-07:00,0,5
style.css,206,css,aca0dbb9,ishita-takkar,2025-05-03,11:22:56,-07:00,2025-05-03T11:22:56-07:00,0,15
style.css,207,css,aca0dbb9,ishita-takkar,2025-05-03,11:22:56,-07:00,2025-05-03T11:22:56-07:00,0,17
style.css,208,css,aca0dbb9,ishita-takkar,2025-05-03,11:22:56,-07:00,2025-05-03T11:22:56-07:00,0,0
style.css,209,css,aca0dbb9,ishita-takkar,2025-05-03,11:22:56,-07:00,2025-05-03T11:22:56-07:00,0,0
style.css,210,css,be230187,ishita-takkar,2025-05-03,11:46:17,-07:00,2025-05-03T11:46:17-07:00,0,37
style.css,211,css,be230187,ishita-takkar,2025-05-03,11:46:17,-07:00,2025-05-03T11:46:17-07:00,0,12
style.css,212,css,be230187,ishita-takkar,2025-05-03,11:46:17,-07:00,2025-05-03T11:46:17-07:00,0,0
style.css,213,css,be230187,ishita-takkar,2025-05-03,11:46:17,-07:00,2025-05-03T11:46:17-07:00,0,0
style.css,214,css,41fd52e1,ishita-takkar,2025-05-03,11:11:42,-07:00,2025-05-03T11:11:42-07:00,0,10
style.css,215,css,41fd52e1,ishita-takkar,2025-05-03,11:11:42,-07:00,2025-05-03T11:11:42-07:00,0,36
style.css,216,css,41fd52e1,ishita-takkar,2025-05-03,11:11:42,-07:00,2025-05-03T11:11:42-07:00,0,0
style.css,217,css,41fd52e1,ishita-takkar,2025-05-03,11:11:42,-07:00,2025-05-03T11:11:42-07:00,0,0
style.css,218,css,41fd52e1,ishita-takkar,2025-05-03,11:11:42,-07:00,2025-05-03T11:11:42-07:00,0,19
style.css,219,css,41fd52e1,ishita-takkar,2025-05-03,11:11:42,-07:00,2025-05-03T11:11:42-07:00,0,18
style.css,220,css,41fd52e1,ishita-takkar,2025-05-03,11:11:42,-07:00,2025-05-03T11:11:42-07:00,0,0
style.css,221,css,41fd52e1,ishita-takkar,2025-05-03,11:11:42,-07:00,2025-05-03T11:11:42-07:00,0,0
style.css,222,css,41fd52e1,ishita-takkar,2025-05-03,11:11:42,-07:00,2025-05-03T11:11:42-07:00,0,22
style.css,223,css,41fd52e1,ishita-takkar,2025-05-03,11:11:42,-07:00,2025-05-03T11:11:42-07:00,0,32
style.css,224,css,41fd52e1,ishita-takkar,2025-05-03,11:11:42,-07:00,2025-05-03T11:11:42-07:00,0,0
style.css,225,css,be230187,ishita-takkar,2025-05-03,11:46:17,-07:00,2025-05-03T11:46:17-07:00,0,0
